Observation_ID,Update_Datetime,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Species_Category,Individual_ID,Phenophase_ID,Phenophase_Category,Phenophase_Description,Observation_Date,Observation_Time,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value,Abundance_Value,AGDD,Tmax,Tmin,Prcp,Accum_Prcp,Daylength
13223740,2018-03-18 20:21:54,29786,My Choice,34.056213,-118.106316,109,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",158559,500,Flowers,Flowers or flower buds,2018-03-17,00:00:00,76,1,49,-9999,-9999,1148,27.5,12.5,0,445,42509
13223741,2018-03-18 20:21:54,29786,My Choice,34.056213,-118.106316,109,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",158559,501,Flowers,Open flowers,2018-03-17,00:00:00,76,1,50,-9999,-9999,1148,27.5,12.5,0,445,42509
14150063,-9999,30721,My backyard,37.682823,-122.129562,11,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",167618,500,Flowers,Flowers or flower buds,2018-05-30,19:41:00,150,0,-9999,-9999,-9999,1978.25,18.5,11.5,0,280,51840
14150065,-9999,30721,My backyard,37.682823,-122.129562,11,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",167618,501,Flowers,Open flowers,2018-05-30,19:41:00,150,0,-9999,-9999,-9999,1978.25,18.5,11.5,0,280,51840
15498105,2018-11-17 14:21:02,32369,River,35.609299,-106.118263,1872,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",178132,500,Flowers,Flowers or flower buds,2018-11-13,11:35:00,317,1,49,Less than 3,-9999,4410.75,19,1.5,0,222,36634
15619653,-9999,32369,River,35.609299,-106.118263,1872,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",178132,500,Flowers,Flowers or flower buds,2018-12-07,09:49:00,341,0,-9999,-9999,-9999,4577.25,3,-9,0,222,34906
15498102,2018-11-17 14:21:02,32369,River,35.609299,-106.118263,1872,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",178132,501,Flowers,Open flowers,2018-11-13,11:35:00,317,1,50,95% or more,-9999,4410.75,19,1.5,0,222,36634
15619659,-9999,32369,River,35.609299,-106.118263,1872,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",178132,501,Flowers,Open flowers,2018-12-07,09:49:00,341,0,-9999,-9999,-9999,4577.25,3,-9,0,222,34906
16818618,2019-05-11 16:35:12,34090,school,34.140465,-118.167282,214,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",198806,500,Flowers,Flowers or flower buds,2019-05-11,00:00:00,131,1,49,-9999,-9999,1888.51,22.27,12.36,0,505.33,49223
16818619,2019-05-11 16:35:12,34090,school,34.140465,-118.167282,214,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",198806,501,Flowers,Open flowers,2019-05-11,00:00:00,131,1,50,-9999,-9999,1888.51,22.27,12.36,0,505.33,49223
24753828,-9999,42329,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",259566,500,Flowers,Flowers or flower buds,2021-02-15,00:00:00,46,0,49,-9999,-9999,1038.95,26.87,18.74,4.49,148.86,40614
24753821,-9999,42329,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",259566,500,Flowers,Flowers or flower buds,2021-02-15,16:18:00,46,0,49,-9999,-9999,1038.95,26.87,18.74,4.49,148.86,40614
24753829,-9999,42329,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",259566,501,Flowers,Open flowers,2021-02-15,00:00:00,46,0,50,-9999,-9999,1038.95,26.87,18.74,4.49,148.86,40614
24753822,-9999,42329,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",259566,501,Flowers,Open flowers,2021-02-15,16:18:00,46,0,50,-9999,-9999,1038.95,26.87,18.74,4.49,148.86,40614
25620081,2021-04-16 12:52:16,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-02-16,00:00:00,47,0,49,-9999,-9999,1061.46,26.5,18.52,0,148.86,40681
